Date,Open,High,Low,Close,Volume
2020-09-29,16,16,15.75,15.8,52
2020-09-30,16,16.1,16,16.1,31
2020-10-05,16,16.7,16,16.45,615
2020-10-06,16.7,16.7,16.45,16.55,73
2020-10-07,16.5,16.65,16.45,16.65,45
2020-10-08,16.7,16.75,16.4,16.75,49
2020-10-12,16.55,16.6,16.25,16.35,47
2020-10-13,16.4,16.4,16,16.3,68
2020-10-14,16.3,16.4,15.9,16.2,89
2020-10-15,16.2,16.35,16.1,16.15,83
2020-10-16,16.1,16.2,16.1,16.1,79
2020-10-19,16.1,16.3,16,16.3,69
2020-10-20,16.3,16.3,16.1,16.3,43
2020-10-21,16.5,16.55,16.2,16.3,59
2020-10-22,16.1,16.2,16,16.05,82
2020-10-23,16.05,16.5,16.05,16.35,117
2020-10-26,16.5,17.2,16.5,17,296
2020-10-27,17.35,17.45,17.05,17.05,126
2020-10-28,17,17.25,16.7,16.95,83
2020-10-29,16.6,17.1,16.55,16.85,63
2020-10-30,17,17,16.7,16.7,63
2020-11-02,16.7,16.75,16.6,16.6,48
2020-11-03,17,17.1,16.65,16.7,58
2020-11-04,17,17,16.7,16.85,36
2020-11-05,16.7,17.1,16.7,16.9,39
2020-11-06,17.2,17.2,16.8,16.8,53
2020-11-09,16.85,17,16.5,16.6,82
2020-11-10,16.75,16.85,16.7,16.8,55
2020-11-11,16.9,17.4,16.75,17.4,396
2020-11-12,17.3,18.3,17.25,18.15,1368
2020-11-13,18,18.1,17.85,17.9,166
2020-11-16,19.1,19.1,18,18.1,454
2020-11-17,18.5,18.5,18,18.15,154
2020-11-18,18.15,18.15,18,18.1,95
2020-11-19,18,18.2,17.95,18,157
2020-11-20,18,18,17.8,17.85,98
2020-11-23,17.85,18.85,17.85,18.8,521
2020-11-24,19.1,20.65,18.95,20.35,3466
2020-11-25,20.05,20.9,19.65,20.5,2123
2020-11-26,20.8,20.9,19.8,20.1,1273
2020-11-27,20.1,20.8,20.1,20.3,781
2020-11-30,20.55,21.25,20.4,20.6,1059
2020-12-01,20.7,21.45,20.7,21.1,682
2020-12-02,21.1,21.2,20.7,20.75,344
2020-12-03,20.65,20.7,20.3,20.4,324
2020-12-04,20.4,21.15,20.2,20.7,796
2020-12-07,21.15,21.15,20.5,20.6,261
2020-12-08,20.6,21.4,20.3,20.6,1665
2020-12-09,20.85,20.85,20.4,20.5,128
2020-12-10,20.5,20.5,19.7,19.85,303
2020-12-11,19.9,19.9,19.2,19.25,329
2020-12-14,19.25,19.5,18.9,19.3,202
2020-12-15,19.7,19.7,18.7,18.8,185
2020-12-16,18.95,19.55,18.9,19.35,161
2020-12-17,19.65,20,19.45,19.75,318
2020-12-18,19.6,20,19.6,19.9,175
2020-12-21,20,21.85,20,21.85,2194
2020-12-22,22.05,22.45,21.25,21.95,2150
2020-12-23,22,24.1,22,24,6482
2020-12-24,24.4,26,23.35,24.4,8159
2020-12-25,24.4,25,23.7,24.15,2450
2020-12-28,24,26,23.5,25.4,4373
2020-12-29,25.7,26,24.3,24.85,2470
2020-12-30,25.1,25.6,24.05,24.55,13223
2020-12-31,25,25,23.8,24.5,1578
2021-01-04,24.3,24.4,23.9,24.15,742
2021-01-05,24.05,25.15,24.05,24.65,1190
2021-01-06,24.9,25.15,23.05,23.85,1145
2021-01-07,23.75,24,23.15,23.6,526
2021-01-08,23.35,23.55,22.6,22.95,845
2021-01-11,23,23.45,22.95,23,505
2021-01-12,23.05,23.05,21.9,22.1,484
2021-01-13,21.9,22.95,21.9,22.5,479
2021-01-14,23.2,23.4,22.3,23.05,1099
2021-01-15,22.9,23.05,22,22.1,673
2021-01-18,22,22.4,20.7,22.3,533
2021-01-19,22.8,23.3,22.45,22.95,764
2021-01-20,22.95,23.15,21.75,21.75,614
2021-01-21,21.9,22.75,21.8,21.95,472
2021-01-22,22.35,23.4,21.4,23,994
2021-01-25,23,23.6,22.5,23,823
2021-01-26,23,24.15,22.85,23.55,1939
2021-01-27,23.45,23.65,22.6,23.25,1118
2021-01-28,23,23.1,22.6,22.8,477
