Date,Open,High,Low,Close,Volume
2020-09-29,98,98.5,93.1,93.7,953
2020-09-30,94.8,99.5,91.9,98.8,1422
2020-10-05,98.3,102,97,98.6,1337
2020-10-06,99.7,100.5,98.4,98.7,720
2020-10-07,99.3,99.6,97.6,97.7,731
2020-10-08,98,98.5,95.6,96.1,1176
2020-10-12,96.2,97.6,93.1,93.1,1523
2020-10-13,92.7,92.7,88.9,89.4,2956
2020-10-14,93.9,94,91,91.1,1545
2020-10-15,91.7,91.8,89.2,89.3,1009
2020-10-16,90,91.5,89.3,89.6,925
2020-10-19,89.8,91.3,89.7,90,600
2020-10-20,90.4,91.5,89.8,89.8,694
2020-10-21,90,90.5,89,89.1,573
2020-10-22,89.7,89.7,87.2,87.4,1168
2020-10-23,87.6,89.2,87.4,87.6,670
2020-10-26,87.6,87.6,83,83,2155
2020-10-27,83.4,86,83.4,83.8,1007
2020-10-28,89,89,84.3,85.2,1619
2020-10-29,84.8,87.4,83.8,85.8,1054
2020-10-30,86.5,86.7,83.4,83.4,921
2020-11-02,84.6,91.7,84.5,90.6,3517
2020-11-03,90.6,91.4,88,88,3125
2020-11-04,88.8,89.8,86.6,87.2,1045
2020-11-05,87.3,88.1,86.5,86.5,993
2020-11-06,86.5,87.3,85.1,85.2,922
2020-11-09,85.2,85.8,84.6,84.6,943
2020-11-10,86.2,91,85.8,87.9,2896
2020-11-11,89.5,90.9,88.5,88.5,2149
2020-11-12,90.3,90.3,87.1,88.8,1287
2020-11-13,89.5,90.1,88.7,89.9,1315
2020-11-16,90.6,90.8,88,88.5,1238
2020-11-17,92.4,94.7,89.6,94.3,4352
2020-11-18,93.4,94.7,91.9,92.3,2431
2020-11-19,92.9,98,91.5,95.4,2827
2020-11-20,92.4,93.8,91.9,92.1,3156
2020-11-23,93.1,93.3,91.5,92.6,1699
2020-11-24,92.6,94.5,92.6,93.2,1737
2020-11-25,102.5,102.5,102.5,102.5,2402
2020-11-26,112.5,112.5,106,107,10583
2020-11-27,105,105.5,100.5,102,4320
2020-11-30,103.5,107,101,107,4131
2020-12-01,106.5,107,103,103,2215
2020-12-02,103.5,104.5,101.5,102.5,1222
2020-12-03,103,104,102,102,1144
2020-12-04,102,103,100.5,100.5,1456
2020-12-07,100,100,96,96,2755
2020-12-08,94.8,98.7,94.7,96,1299
2020-12-09,96.4,98.2,93.1,93.9,1519
2020-12-10,94.4,96.4,93.7,93.8,1027
2020-12-11,94.3,95.6,91.3,94.9,1738
2020-12-14,96.3,97,95.3,95.5,1104
2020-12-15,95.5,96.9,94,94,853
2020-12-16,96,96.4,94.1,94.5,977
2020-12-17,95,95.7,94.1,94.1,720
2020-12-18,94.9,94.9,93.6,93.8,781
2020-12-21,94.1,94.4,92.5,92.5,808
2020-12-22,92,100,91.8,98.4,2345
2020-12-23,98,98,94,94,1812
2020-12-24,95.6,96.6,94.7,95.1,886
2020-12-25,96.4,96.4,94.8,95.9,920
2020-12-28,98,100,98,99.6,2467
2020-12-29,102.5,109.5,101.5,109.5,6690
2020-12-30,111.5,117.5,109,110,8316
2020-12-31,113.5,114,103,103,5732
2021-01-04,100.5,101,95.1,96.7,3897
2021-01-05,97.2,99.4,97.1,97.6,1292
2021-01-06,98,98.9,95.1,95.4,1585
2021-01-07,104,104,99,100.5,2677
2021-01-08,100.5,100.5,97.6,98.4,1494
2021-01-11,100,100,97.8,99.1,1157
2021-01-12,99.5,108.5,99,106.5,4915
2021-01-13,102,104.5,99.8,100,3090
2021-01-14,100,103,99.2,100,1365
2021-01-15,100.5,101,98.1,98.2,1352
2021-01-18,102.5,105,101,102,2222
2021-01-19,103.5,104,100,103,1712
2021-01-20,104.5,108,103,106,4244
2021-01-21,106,107,103,103.5,2710
2021-01-22,106,106.5,104,104.5,1514
2021-01-25,108,111.5,107.5,107.5,4047
2021-01-26,108,109.5,106,107.5,2180
2021-01-27,108.5,109.5,106.5,106.5,1667
2021-01-28,107,109,105.5,105.5,1496
2021-01-29,107,107,101,103,2391
2021-02-01,106.5,112.5,105,110,5742
2021-02-02,107,112,106.5,112,3918
2021-02-03,112,123,110,123,11326
2021-02-04,125,135,125,135,11217
2021-02-05,137,148.5,132.5,148.5,14488
2021-02-17,163,163,157.5,163,3273
2021-02-18,179,179,179,179,1864
2021-02-19,196.5,196.5,196.5,196.5,1859
2021-02-22,216,216,216,216,1040
2021-02-23,237.5,237.5,194.5,194.5,6036
2021-02-24,175.5,175.5,175.5,175.5,1320
2021-02-25,177,193,177,185,6022
2021-02-26,172.5,180.5,172.5,175.5,3063
2021-03-02,180,180,172.5,172.5,1983
2021-03-03,175,180,170,180,1594
2021-03-04,180,185,180,185,1221
2021-03-05,187,203.5,187,203.5,3158
2021-03-08,203,203,188,188,2140
2021-03-09,192,196,185,196,1641
2021-03-10,198.5,207,198.5,205,1963
2021-03-11,205,224,198,214,5924
2021-03-12,205,212,196.5,197,6569
2021-03-15,199,207,197,202,2984
2021-03-16,206,206.5,197,197.5,3142
2021-03-17,197,204,185,197.5,4440
2021-03-18,199.5,213,196,208,5181
2021-03-19,205,214.5,201,202,4628
2021-03-22,201.5,210,198,206,3960
2021-03-23,210,226.5,207,226.5,7971
2021-03-24,236,249,233.5,249,5865
2021-03-25,268.5,273.5,235.5,253,11391
2021-03-26,253,259.5,240,259,4677
2021-03-29,266,284.5,265,284.5,6905
2021-03-30,287,300,280,296,7924
2021-03-31,287.5,298,285.5,289,6390
2021-04-01,292,296,285,289,4365
2021-04-06,289,289,260.5,270,6799
2021-04-07,278,287.5,275,276,3706
2021-04-08,280,280.5,271,272.5,2476
2021-04-09,274,289.5,270.5,285.5,4456
2021-04-12,314,314,314,314,2314
2021-04-13,314,315,294,295,7276
2021-04-14,296,303.5,266,282.5,5974
2021-04-15,288,293,281,288,2015
2021-04-16,289,294.5,285.5,286,2276
2021-04-19,287.5,292,275,275,3119
2021-04-20,272,293,271,287,3228
2021-04-21,285,289.5,277.5,277.5,2564
2021-04-22,276,281,258.5,259,6019
2021-04-23,262,273,259,262,2612
2021-04-26,271,275,267.5,268.5,2207
2021-04-27,271.5,295,268.5,287,5164
2021-04-28,285,287,276,276,3414
2021-04-29,280,294,280,285,3953
2021-05-03,298.5,313,292,310,8015
2021-05-04,304,305.5,279,281,8441
2021-05-05,281,293.5,272,287,2972
2021-05-06,270,283.5,261,270,4727
2021-05-07,274,279.5,272,275,1883
2021-05-10,287.5,287.5,278,280,2118
2021-05-11,280,302,272,300,7278
2021-05-12,305,330,300,330,13558
2021-05-13,340,363,330,363,16108
2021-05-14,358,394,339,379.5,14152
2021-05-17,399,417,390,417,11583
2021-05-18,399,399,375.5,375.5,10718
2021-05-19,358,367,339,344.5,6976
2021-05-20,340,361,340,352,4042
2021-05-21,352,366.5,352,360.5,3058
2021-05-24,376,396.5,370.5,396.5,4986
2021-05-25,398.5,398.5,372.5,380,4423
2021-05-26,381,398,381,386,3112
2021-05-27,383,412,383,402,4716
2021-05-28,402,402,385,389,4699
2021-05-31,389,389,350.5,350.5,6306
2021-06-01,315.5,315.5,315.5,315.5,1656
2021-06-02,284,284,284,284,1671
2021-06-03,256,256,256,256,2123
2021-06-04,230.5,230.5,230.5,230.5,2099
2021-06-07,207.5,207.5,207.5,207.5,2301
2021-06-08,190.5,228,190.5,228,8740
2021-06-09,250.5,250.5,250.5,250.5,7439
2021-06-10,250.5,250.5,250.5,250.5,0
2021-06-11,275.5,275.5,275.5,275.5,355
2021-06-15,303,303,248,283,10047
2021-06-16,256,275.5,255,255,4846
2021-06-17,240,260,240,260,1879
2021-06-18,265,280,265,270,2031
2021-06-21,268,283,268,272,2161
2021-06-22,274.5,279,255,255.5,1928
2021-06-23,273.5,280.5,262,275,5191
2021-06-24,279.5,281.5,268,276.5,3667
2021-06-25,274.5,274.5,269,269.5,3333
2021-06-28,275,278,250,258,5538
2021-06-29,248,250,233,242,7909
2021-06-30,238,248.5,236,247,3133
2021-07-01,247,254,243,243,2836
2021-07-02,243,245.5,236,237.5,2661
2021-07-05,237.5,243,225,238.5,4628
2021-07-06,240,245,235,235,2131
2021-07-07,240.5,255,240.5,248.5,3886
2021-07-08,250,251.5,240.5,241,2295
2021-07-09,242,248,239,239,1843
2021-07-12,237,241,230,232,2507
2021-07-13,229,230,209,210,6580
2021-07-14,212,223,195.5,219.5,5631
2021-07-15,232,241,226,241,3875
2021-07-16,250,261,243,258.5,7317
2021-07-19,265,265,253,255,3711
2021-07-20,280.5,280.5,280.5,280.5,1124
2021-07-21,308.5,308.5,285,299,14615
2021-07-22,285.5,296,277,282.5,6130
2021-07-23,258.5,275,254.5,263,10023
2021-07-26,275.5,283,270,278.5,4354
2021-07-27,278.5,278.5,260.5,261.5,3407
2021-07-28,270,282,267,275.5,4281
2021-07-29,281,286.5,276,280,3305
2021-07-30,282,286,274.5,277.5,2411
2021-08-02,277,297,276.5,293,4820
2021-08-03,285.5,292.5,281.5,285,3412
2021-08-04,285,287.5,278.5,280,2398
2021-08-05,284,289,281.5,282,1516
2021-08-06,284,287.5,279,283,1833
2021-08-09,283,287,278,278,2491
2021-08-10,282.5,297,280,289,4045
2021-08-11,287.5,291,280.5,281.5,2802
2021-08-12,290,295,286,289.5,3247
2021-08-13,290,311,289,309,8335
2021-08-16,314,339.5,313.5,339.5,10123
2021-08-17,348,373,346.5,367,11105
2021-08-18,360.5,367,333.5,335.5,10514
2021-08-19,326.5,348,316,334,6300
2021-08-20,335,360,335,355,6010
2021-08-23,359.5,370,333,337,8816
2021-08-24,343,344,303.5,304,11845
2021-08-25,300,318,290.5,302.5,10273
2021-08-26,294.5,296,284.5,286,7735
2021-08-27,285,294.5,283,289.5,3319
2021-08-30,294,300,291.5,299,3869
2021-08-31,304.5,306,301.5,302.5,2332
2021-09-01,303,305,290.5,290.5,3054
2021-09-02,290,292,280,281,3396
2021-09-03,282.5,285,275,277,2574
2021-09-06,280,284,277,277.5,2166
2021-09-07,282,297,278.5,295,3280
2021-09-08,298,304,295,297,3949
2021-09-09,293,296,283.5,284.5,2814
2021-09-10,291,292,284,285.5,1409
2021-09-13,286,288,280.5,282,1192
2021-09-14,281,284.5,279,279,1327
2021-09-15,290,294,286.5,290,2832
2021-09-16,291,291,284,284,1407
2021-09-17,284,289.5,279.5,286,1379
2021-09-22,280,283.5,277,280.5,1317
2021-09-23,286,289.5,283.5,283.5,1126
2021-09-24,286,287,284,285,824
2021-09-27,287,287.5,282,282,718
2021-09-28,284,284,279,279,860
