Date,Open,High,Low,Close,Volume
2020-09-30,13.55,13.55,13,13.45,12000.0
2020-10-05,13.5,13.65,12.95,13.15,36200.0
2020-10-06,13.25,13.65,13,13.25,46500.0
2020-10-07,13.35,13.45,13.15,13.25,15200.0
2020-10-08,13.5,13.5,13,13.4,21000.0
2020-10-12,13.55,13.55,13,13.05,41000.0
2020-10-13,13.05,13.05,13.05,13.05,0.0
2020-10-14,13,13.05,13,13.05,9000.0
2020-10-15,13,13.25,12.9,12.9,21000.0
2020-10-16,13,13.2,12.9,12.9,10000.0
2020-10-19,13.35,13.35,13,13.05,10000.0
2020-10-20,13.1,13.1,13.1,13.1,7000.0
2020-10-21,13.1,13.55,13.1,13.25,35000.0
2020-10-22,13.5,13.5,13.25,13.3,7000.0
2020-10-23,13.3,13.65,13.3,13.65,25000.0
2020-10-26,13.8,13.8,13.65,13.65,21000.0
2020-10-27,13.65,13.7,13.65,13.7,4000.0
2020-10-28,13.7,13.7,13.6,13.6,15000.0
2020-10-29,13.6,13.6,13.6,13.6,0.0
2020-10-30,13.6,13.6,13.55,13.55,16000.0
2020-11-02,13.55,13.55,13.5,13.5,16000.0
2020-11-03,13.5,13.5,13.5,13.5,2000.0
2020-11-04,13.8,13.8,13.7,13.8,34000.0
2020-11-05,13.8,13.8,13.8,13.8,0.0
2020-11-06,13.8,13.8,13.8,13.8,700.0
2020-11-09,14,14,14,14,4700.0
2020-11-10,14,14,14,14,0.0
2020-11-11,13.5,14.65,13.5,14.5,5080.0
2020-11-12,14.65,14.65,13.5,13.85,12000.0
2020-11-13,13.5,13.8,13.5,13.8,8000.0
2020-11-16,13.95,13.95,13.95,13.95,1000.0
2020-11-17,13.6,13.85,13.6,13.7,6150.0
2020-11-18,14.75,14.75,14.4,14.4,11000.0
2020-11-19,14.4,14.85,14.4,14.5,11000.0
2020-11-20,14.5,14.5,14.5,14.5,0.0
2020-11-23,14,14.05,13.7,13.7,21600.0
2020-11-24,13.7,13.85,13.65,13.85,15000.0
2020-11-25,13.8,13.95,13.75,13.75,3400.0
2020-11-26,13.85,15.1,13.85,14.3,321000.0
2020-11-27,14.2,14.2,14.2,14.2,1000.0
2020-11-30,15.6,15.6,14.7,14.7,39000.0
2020-12-01,14.7,14.95,14.7,14.95,7580.0
2020-12-02,14.5,14.55,14.5,14.5,3000.0
2020-12-03,14.3,14.3,14.2,14.2,24100.0
2020-12-04,14.5,14.85,14.1,14.1,24000.0
2020-12-07,14.1,14.1,14.1,14.1,0.0
2020-12-08,14,14.1,13.95,14.05,18000.0
2020-12-09,14.1,14.25,13.95,13.95,23000.0
2020-12-10,14,14.1,14,14,4000.0
2020-12-11,13.95,13.95,13.95,13.95,3000.0
2020-12-14,13.95,13.95,13.95,13.95,0.0
2020-12-15,13.7,13.7,13.7,13.7,1020.0
2020-12-16,13.7,13.7,13.7,13.7,0.0
2020-12-17,13.8,13.8,13.8,13.8,1190.0
2020-12-18,13.8,13.8,13.8,13.8,0.0
2020-12-21,13.8,13.8,13.8,13.8,1000.0
2020-12-22,13.9,13.9,13.9,13.9,1010.0
2020-12-23,13.9,13.9,13.9,13.9,0.0
2020-12-24,13.8,13.95,13.65,13.95,42000.0
2020-12-25,14,14.05,13.65,13.65,44000.0
2020-12-28,14,14.45,13.55,14.1,97700.0
2020-12-29,13.7,14.15,13.7,13.85,46300.0
2020-12-30,13.9,13.9,13.9,13.9,9000.0
2020-12-31,13.4,13.65,13.4,13.65,18000.0
2021-01-04,13.65,13.65,13.65,13.65,0.0
2021-01-05,13.7,13.7,13.7,13.7,1000.0
2021-01-06,13.7,13.7,13.7,13.7,0.0
2021-01-07,14,14,14,14,2000.0
2021-01-08,14,14.25,14,14.25,4019.9999999999995
2021-01-11,13.7,14.25,13.7,14.25,9000.0
2021-01-12,14.3,14.55,13.9,14.25,13000.0
2021-01-13,14.1,14.25,13.95,14.15,37400.0
2021-01-14,14,14.1,13.9,14.1,12000.0
2021-01-15,13.9,14,13.9,14,8000.0
2021-01-18,13.8,13.8,13.8,13.8,1000.0
2021-01-19,13.8,13.8,13.3,13.6,22300.0
2021-01-20,13.6,13.6,13.4,13.4,8000.0
2021-01-21,13.4,13.4,13.4,13.4,80.0
2021-01-22,13.4,13.6,13.4,13.6,9000.0
2021-01-25,13.5,13.6,13.5,13.6,6000.0
2021-01-26,13.7,13.7,13.5,13.5,3000.0
2021-01-27,13.5,13.5,13.35,13.35,9460.0
2021-01-28,13.35,13.35,13.35,13.35,0.0
2021-01-29,13.35,13.35,13.35,13.35,12000.0
2021-02-01,13.35,13.35,13.35,13.35,0.0
2021-02-02,13.7,13.7,13.35,13.5,7000.0
2021-02-03,13.3,13.3,12.85,13.25,6000.0
2021-02-04,12.85,13.25,12.85,13.25,9920.0
2021-02-05,13.25,13.25,13.25,13.25,690.0
2021-02-17,13.35,13.35,13.35,13.35,1690.0
2021-02-18,13.5,13.5,13.3,13.5,3000.0
2021-02-19,13.5,13.5,13.5,13.5,0.0
2021-02-22,13.5,13.5,13.5,13.5,129000.0
2021-02-23,13.5,13.5,13.5,13.5,4000.0
2021-02-24,13.5,13.5,13.45,13.45,9000.0
2021-02-25,13.5,13.5,13.45,13.5,26600.0
2021-02-26,13.5,13.5,13.5,13.5,0.0
2021-03-02,13.4,13.4,13.4,13.4,2000.0
2021-03-03,13.3,13.3,13.3,13.3,1000.0
2021-03-04,13.3,13.3,13.3,13.3,0.0
2021-03-05,13.45,13.45,13.3,13.3,8000.0
2021-03-08,13.6,13.6,13.6,13.6,9000.0
2021-03-09,13.65,13.7,13.65,13.7,10600.0
2021-03-10,13.8,13.8,13.8,13.8,1000.0
2021-03-11,13.8,13.8,13.55,13.55,7000.0
2021-03-12,13.55,13.55,13.55,13.55,9000.0
2021-03-15,13.55,13.55,13.55,13.55,9000.0
2021-03-16,13.55,13.55,13.5,13.5,10000.0
2021-03-17,13.5,13.8,13.5,13.8,15000.0
2021-03-18,14.15,14.15,13.5,13.5,50000.0
2021-03-19,13.55,13.7,12.9,12.9,417000.0
2021-03-22,13.2,14.1,13.2,13.4,59900.0
2021-03-23,13.4,13.6,13.25,13.6,28000.0
2021-03-24,13.35,13.8,13.35,13.5,14000.0
2021-03-25,13.8,13.8,13.8,13.8,13000.0
2021-03-26,13.9,13.9,13.9,13.9,1000.0
2021-03-29,13.9,13.9,13.7,13.7,7000.0
2021-03-30,13.7,13.8,13.4,13.4,3150.0
2021-03-31,13.6,13.6,13.6,13.6,2000.0
2021-04-01,13.5,13.5,13.5,13.5,1000.0
2021-04-06,13.6,13.8,13.6,13.65,16000.0
2021-04-07,13.65,13.65,13,13.35,163000.0
2021-04-08,13.5,13.7,13.4,13.5,30000.0
2021-04-09,13.5,13.9,13.4,13.5,36000.0
2021-04-12,13.9,13.95,13.65,13.65,14000.0
2021-04-13,13.6,13.75,13.6,13.75,13000.0
2021-04-14,13.75,13.75,13.4,13.75,33000.0
2021-04-15,13.75,14.2,13.55,14.2,36200.0
2021-04-16,14.05,14.3,14,14.25,44000.0
2021-04-19,14.3,14.5,14.15,14.15,46000.0
2021-04-20,14.15,14.25,14,14.25,18000.0
2021-04-21,14.65,14.65,14.1,14.45,9700.0
2021-04-22,14.15,14.15,14,14,18000.0
2021-04-23,13.9,14.35,13.9,14.35,3460.0
2021-04-26,14.1,14.45,14.1,14.45,26600.0
2021-04-27,14.45,14.45,14.1,14.3,22100.0
2021-04-28,14.2,14.3,14.1,14.3,27000.0
2021-04-29,14.55,14.55,14.1,14.15,44000.0
2021-05-03,14.2,14.2,14,14.2,25500.0
2021-05-04,14.2,14.2,14.2,14.2,210.0
2021-05-05,14.15,14.15,14.15,14.15,0.0
2021-05-06,14.1,14.4,14,14.4,73700.0
2021-05-07,14.2,14.35,14.05,14.15,13000.0
2021-05-10,14.15,14.15,13.65,14.1,54000.0
2021-05-11,13.9,13.95,13.5,13.65,18000.0
2021-05-12,13.6,13.6,12.65,12.75,39000.0
2021-05-13,12.65,13.45,12.65,13.45,7000.0
2021-05-14,13.9,13.9,13.9,13.9,12300.0
2021-05-17,13.45,13.45,13.05,13.05,8000.0
2021-05-18,13.8,13.8,13.15,13.8,4490.0
2021-05-19,13.8,13.8,13.8,13.8,0.0
2021-05-20,13.8,13.8,13.8,13.8,0.0
2021-05-21,13.5,13.9,13.5,13.9,3000.0
2021-05-24,13.9,14,13.75,13.95,23000.0
2021-05-25,14.15,14.15,14,14,4000.0
2021-05-26,13.85,13.85,13.85,13.85,1000.0
2021-05-27,13.65,13.65,13.1,13.1,22000.0
2021-05-28,13.5,13.5,13.3,13.3,19000.0
2021-05-31,13.25,13.9,13.25,13.9,15000.0
2021-06-01,13.9,14,13.9,14,2000.0
2021-06-02,14,14,14,14,3000.0
2021-06-03,14,14,14,14,1000.0
2021-06-04,14,14,14,14,0.0
2021-06-07,13.95,13.95,13.95,13.95,0.0
2021-06-08,13.95,13.95,13.95,13.95,0.0
2021-06-09,13.85,13.85,13.85,13.85,2000.0
2021-06-10,14,15.2,14,14.4,264000.0
2021-06-11,14.4,14.6,14.1,14.3,36300.0
2021-06-15,14.9,14.9,14.3,14.35,38200.0
2021-06-16,14.7,14.7,14.15,14.15,21700.0
2021-06-17,14.1,14.35,13.7,14.15,105000.0
2021-06-18,14.15,14.15,14,14,6010.0
2021-06-21,13.55,13.6,13.5,13.6,12000.0
2021-06-22,13.6,13.6,13.5,13.55,13000.0
2021-06-23,13.55,13.55,13.55,13.55,0.0
2021-06-24,13.75,13.75,13.75,13.75,4000.0
2021-06-25,13.55,14,13.55,14,7000.0
2021-06-28,13.75,14,13.7,13.7,10000.0
2021-06-29,14,14,13.5,13.5,49000.0
2021-06-30,13.7,13.9,13.5,13.8,17000.0
2021-07-01,14,14,13.6,13.6,11700.0
2021-07-02,13.55,13.55,13.5,13.5,4420.0
2021-07-05,13.8,13.85,13.6,13.6,38400.0
2021-07-06,13.6,13.7,13.5,13.7,11000.0
2021-07-07,13.5,13.8,13.5,13.8,5000.0
2021-07-08,14,14,13.8,13.85,28000.0
2021-07-09,13.85,13.85,13.85,13.85,0.0
2021-07-12,14,14.2,13.8,14.15,47000.0
2021-07-13,14.2,14.2,13.6,13.6,50000.0
2021-07-14,13.6,13.6,13.6,13.6,0.0
2021-07-15,13.9,14,13.8,14,3450.0
2021-07-16,13.7,14,13.7,13.9,13000.0
2021-07-19,13.9,13.9,13.9,13.9,1000.0
2021-07-20,13.7,14,13.7,14,14000.0
2021-07-21,13.8,14,13.7,14,8000.0
2021-07-22,14,14,14,14,1000.0
2021-07-23,13.85,14.5,13.85,14.2,61000.0
2021-07-26,14.2,15.5,14.2,14.7,105000.0
2021-07-27,14.8,15,14.05,14.05,44500.0
2021-07-28,14.05,14.05,13.6,13.8,25000.0
2021-07-29,13.95,14.3,13.7,14,12500.0
2021-07-30,13.8,14.15,13.75,14,11000.0
2021-08-02,14.2,14.2,14,14,4000.0
2021-08-03,14,14,14,14,1000.0
2021-08-04,13.95,14,13.95,13.95,7000.0
2021-08-05,13.75,14.15,13.75,13.95,14000.0
2021-08-06,14,14,13.6,13.6,85000.0
2021-08-09,13.6,13.85,13.6,13.85,6180.0
2021-08-10,13.85,13.85,13.45,13.45,10000.0
2021-08-11,13.4,13.4,13.2,13.2,3000.0
2021-08-12,13.3,13.3,12.8,13,12400.0
2021-08-13,13,13,13,13,3390.0
2021-08-16,12.8,12.8,12.8,12.8,2000.0
2021-08-17,13,13.05,13,13.05,4000.0
2021-08-18,13.4,13.4,13.4,13.4,1000.0
2021-08-19,13.45,13.45,13.45,13.45,1000.0
2021-08-20,13.45,13.45,13.45,13.45,30.0
2021-08-23,13.35,13.35,13.35,13.35,0.0
2021-08-24,13.45,13.75,13.45,13.75,9000.0
2021-08-25,13.75,13.9,13.75,13.9,9000.0
2021-08-26,13.9,13.9,13.9,13.9,0.0
2021-08-27,14,14,13.9,13.9,13000.0
2021-08-30,13.5,13.5,13.5,13.5,1380.0
2021-08-31,13.5,13.5,13.3,13.45,5000.0
2021-09-01,13.45,13.45,13.45,13.45,0.0
2021-09-02,13.8,13.9,13.8,13.85,5030.0
2021-09-03,13.95,13.95,13.95,13.95,1300.0
2021-09-06,13.9,14,13.9,13.9,8000.0
2021-09-07,13.5,13.7,13.5,13.6,17000.0
2021-09-08,13.55,13.55,13.35,13.35,9000.0
2021-09-09,13.75,13.75,13.3,13.65,4000.0
2021-09-10,13.65,13.65,13.65,13.65,8920.0
2021-09-13,13.45,13.6,13.35,13.6,48000.0
2021-09-14,13.6,13.6,13.6,13.6,2000.0
2021-09-15,13.4,13.4,13.2,13.3,24000.0
2021-09-16,13.3,13.3,13.3,13.3,0.0
2021-09-17,13.5,13.5,13.5,13.5,3000.0
2021-09-22,13.55,13.55,13.55,13.55,6000.0
2021-09-23,13.25,13.5,13.25,13.5,4380.0
2021-09-24,13.5,13.55,13.5,13.55,8000.0
2021-09-27,13.55,13.7,13.5,13.5,27000.0
2021-09-28,13.4,13.55,13.3,13.55,18100.0
2021-09-29,13.6,13.6,13.35,13.35,12000.0
