Date,Open,High,Low,Close,Volume
2020-09-30,3,3.25,3,3.25,1449000.0
2020-10-05,3.31,3.31,3.02,3.2,613000.0
2020-10-06,3.2,3.2,2.9,2.9,930000.0
2020-10-07,2.74,3.1,2.74,3,1132000.0
2020-10-08,3.19,3.19,3,3.03,853000.0
2020-10-12,3.1,3.27,3.1,3.27,1682000.0
2020-10-13,3.01,3.2,3.01,3.12,341000.0
2020-10-14,3.11,3.12,3.03,3.11,1036000.0
2020-10-15,3.03,3.1,3.01,3.03,826000.0
2020-10-16,3.15,3.15,2.9,2.9,696000.0
2020-10-19,2.94,3.03,2.94,2.99,544000.0
2020-10-20,2.96,2.96,2.75,2.85,876000.0
2020-10-21,3.06,3.06,2.88,2.88,781000.0
2020-10-22,2.88,2.88,2.77,2.78,870000.0
2020-10-23,2.78,2.78,2.51,2.7,979000.0
2020-10-26,2.67,2.67,2.53,2.6,853000.0
2020-10-27,2.6,2.86,2.6,2.86,1012000.0
2020-10-28,2.86,3.1,2.86,2.9,1156000.0
2020-10-29,2.71,2.95,2.71,2.9,251000.0
2020-10-30,2.9,2.9,2.81,2.81,522000.0
2020-11-02,2.79,2.79,2.71,2.79,396000.0
2020-11-03,2.71,2.75,2.71,2.75,268000.0
2020-11-04,2.79,2.79,2.62,2.67,302000.0
2020-11-05,2.61,2.73,2.61,2.7,201000.0
2020-11-06,2.67,2.67,2.65,2.65,186000.0
2020-11-09,2.6,2.7,2.6,2.61,452000.0
2020-11-10,2.61,2.61,2.56,2.56,514000.0
2020-11-11,2.5,2.56,2.5,2.56,722000.0
2020-11-12,2.51,2.58,2.48,2.48,355000.0
2020-11-13,2.48,2.52,2.48,2.52,110000.0
2020-11-16,2.54,2.54,2.5,2.5,178000.0
2020-11-17,2.45,2.55,2.45,2.5,198000.0
2020-11-18,2.5,2.5,2.5,2.5,321000.0
2020-11-19,2.5,2.5,2.4,2.4,190000.0
2020-11-20,2.4,2.45,2.4,2.45,477000.0
2020-11-23,2.26,2.53,2.26,2.4,344000.0
2020-11-24,2.4,2.4,2.29,2.29,690000.0
2020-11-25,2.3,2.51,2.3,2.51,795000.0
2020-11-26,2.65,2.76,2.65,2.76,912000.0
2020-11-27,3,3,2.88,2.9,2727000.0
2020-11-30,2.9,3.19,2.9,3.19,2127000.0
2020-12-01,3.49,3.49,2.9,3.15,2418000.0
2020-12-02,3.2,3.2,2.91,3,612000.0
2020-12-03,2.97,2.97,2.81,2.86,654000.0
2020-12-04,2.81,3.09,2.81,3,721000.0
2020-12-07,2.99,2.99,2.87,2.88,275000.0
2020-12-08,2.89,2.9,2.89,2.9,217000.0
2020-12-09,2.99,2.99,2.89,2.89,220000.0
2020-12-10,2.89,3,2.88,2.88,940000.0
2020-12-11,2.88,2.9,2.83,2.83,530000.0
2020-12-14,2.75,2.83,2.75,2.81,311000.0
2020-12-15,2.94,3.09,2.94,3.09,1864000.0
2020-12-16,3.19,3.2,2.9,3.08,1368000.0
2020-12-17,2.92,3.06,2.92,3.01,305000.0
2020-12-18,3.01,3.01,3,3,336000.0
2020-12-21,2.81,3.03,2.81,3.02,878000.0
2020-12-22,3.09,3.3,3.09,3.15,2545000.0
2020-12-23,2.84,3.12,2.84,2.92,1228000.0
2020-12-24,2.92,2.96,2.9,2.95,671000.0
2020-12-25,3.08,3.08,2.87,2.93,573000.0
2020-12-28,2.93,2.98,2.93,2.95,320000.0
2020-12-29,3,3,2.9,2.92,253000.0
2020-12-30,2.98,3.06,2.98,3,881000.0
2020-12-31,3.11,3.15,3.11,3.15,2124000.0
2021-01-04,3.29,3.29,3.06,3.08,1141000.0
2021-01-05,2.95,3.2,2.95,3.13,972000.0
2021-01-06,3.15,3.15,2.98,3.02,693000.0
2021-01-07,3.09,3.09,2.98,2.98,380000.0
2021-01-08,2.95,2.95,2.85,2.9,428000.0
2021-01-11,2.9,2.9,2.83,2.85,367000.0
2021-01-12,2.79,2.84,2.79,2.8,346000.0
2021-01-13,2.85,2.85,2.8,2.8,321000.0
2021-01-14,2.81,2.89,2.8,2.8,194000.0
2021-01-15,2.81,2.85,2.81,2.81,275000.0
2021-01-18,2.81,2.81,2.78,2.79,318000.0
2021-01-19,2.75,2.79,2.75,2.77,254000.0
2021-01-20,2.7,2.7,2.63,2.63,218000.0
2021-01-21,2.65,2.68,2.6,2.6,282000.0
2021-01-22,2.51,2.51,2.35,2.42,435000.0
2021-01-25,2.39,2.4,2.22,2.4,453000.0
2021-01-26,2.34,2.34,2.25,2.25,389000.0
2021-01-27,2.2,2.4,2.2,2.4,423000.0
2021-01-28,2.38,2.64,2.38,2.58,260000.0
2021-01-29,2.56,2.6,2.52,2.52,338000.0
2021-02-01,2.5,2.5,2.45,2.47,103000.0
2021-02-02,2.63,2.63,2.56,2.56,82300.0
2021-02-03,2.5,2.5,2.31,2.38,628000.0
2021-02-04,2.31,2.36,2.31,2.31,319000.0
2021-02-05,2.34,2.34,2.25,2.25,298000.0
2021-02-17,2.47,2.47,2.43,2.47,641000.0
2021-02-18,2.36,2.71,2.36,2.71,757000.0
2021-02-19,2.97,2.97,2.84,2.88,529000.0
2021-02-22,2.99,2.99,2.9,2.9,504000.0
2021-02-23,2.96,2.96,2.82,2.82,528000.0
2021-02-24,2.9,2.9,2.77,2.77,263000.0
2021-02-25,2.97,2.97,2.77,2.77,284000.0
2021-02-26,2.77,2.77,2.71,2.76,239000.0
2021-03-02,2.88,2.88,2.74,2.74,215000.0
2021-03-03,2.72,2.74,2.7,2.72,165000.0
2021-03-04,2.69,2.8,2.69,2.8,182000.0
2021-03-05,2.78,2.78,2.71,2.78,112000.0
2021-03-08,2.8,2.8,2.73,2.73,49000.0
2021-03-09,2.73,2.83,2.73,2.81,262000.0
2021-03-10,2.85,2.87,2.73,2.74,433000.0
2021-03-11,2.74,2.83,2.74,2.83,375000.0
2021-03-12,2.83,2.83,2.74,2.74,200000.0
2021-03-15,2.76,2.85,2.75,2.85,404000.0
2021-03-16,2.85,2.89,2.78,2.78,169000.0
2021-03-17,2.75,2.8,2.73,2.74,340000.0
2021-03-18,2.83,2.83,2.76,2.82,420000.0
2021-03-19,2.82,2.87,2.82,2.85,1003000.0
2021-03-22,2.95,2.95,2.85,2.85,776000.0
2021-03-23,2.85,2.85,2.8,2.8,250000.0
2021-03-24,2.76,2.76,2.72,2.75,265000.0
2021-03-25,2.75,2.75,2.71,2.71,128000.0
2021-03-26,2.62,2.79,2.61,2.79,184000.0
2021-03-29,2.71,2.71,2.7,2.71,377000.0
2021-03-30,2.66,2.66,2.57,2.57,719000.0
2021-03-31,2.57,2.82,2.57,2.82,486000.0
2021-04-01,2.79,2.82,2.69,2.8,520000.0
2021-04-06,2.85,2.85,2.74,2.74,386000.0
