Date,Open,High,Low,Close,Volume
2020-12-25,91.5,91.9,88,88.3,506
2020-12-28,88.5,88.7,80.6,80.8,337
2020-12-29,80.8,81.4,78,79,103
2020-12-30,79,79.5,77.6,77.9,104
2020-12-31,78,78.2,77.5,78,34
2021-01-04,78,79.5,76.8,78.7,83.5
2021-01-05,78,85.1,78,83.8,126
2021-01-06,83.4,83.8,79.6,79.6,81.4
2021-01-07,80.5,81.5,80.2,80.8,37.2
2021-01-08,81.1,81.1,78.9,80.8,20
2021-01-11,80,81.1,79.4,79.5,24.1
2021-01-12,80.2,80.5,78.3,78.3,27.3
2021-01-13,77.6,79,76,77.8,78.3
2021-01-14,77.8,78.4,77,77.2,16.6
2021-01-15,73.7,76.2,73,73,81.8
2021-01-18,72.5,75.5,71,75.5,57
2021-01-19,75.3,75.3,74.5,74.5,14.4
2021-01-20,74,74,73,73,24.2
2021-01-21,73,75,73,75,90
2021-01-22,75,75.5,75,75.4,18
2021-01-25,74.5,76.5,74.5,75.5,43
2021-01-26,76,78,74.5,74.5,28.5
2021-01-27,75,76.2,74.5,76.2,44.6
2021-01-28,76,76.3,76,76.2,9.04
2021-01-29,78,78,73.9,74,36
2021-02-01,74.1,74.2,73.5,73.5,16
2021-02-02,73.2,73.8,72,72,13
2021-02-03,72.9,73,71.8,71.8,17
2021-02-04,71.1,72,71,72,12
2021-02-05,72,72,71.1,71.1,16.1
2021-02-17,73.9,73.9,70,70.5,12.2
2021-02-18,71.2,72,71.2,71.9,20
2021-02-19,71.1,74,71,72.6,24.4
2021-02-22,72.6,73.5,72.6,73.5,24
2021-02-23,74.4,75.5,73.2,74.2,24
2021-02-24,75,81.6,75,81.6,109
2021-02-25,83.2,84,77,77.8,232
2021-02-26,76.9,79.2,75.4,78.7,68
2021-03-02,78.5,78.5,75.5,75.7,94
2021-03-03,75.6,78,74.6,77.9,93
2021-03-04,78.4,78.4,76.7,76.7,21
2021-03-05,77.4,77.5,77.1,77.1,9
2021-03-08,78,78.9,77,77,22
2021-03-09,77.1,78.3,77,77,12
2021-03-10,76.6,77.2,75,76.2,12
2021-03-11,76.3,77,76.3,76.9,14
2021-03-12,76.9,79.4,76.9,77.4,12.2
2021-03-15,77.1,77.9,77,77.9,11
