Date,Open,High,Low,Close,Volume
2020-09-29,31.95,32.35,31.3,32,65183
2020-09-30,32,32.2,31.5,31.95,25613
2020-10-05,32.2,32.45,31.3,31.35,36836
2020-10-06,31.7,31.75,31.35,31.35,15954
2020-10-07,31.45,32.1,31.3,31.9,32903
2020-10-08,32.2,32.2,31.65,31.8,36670
2020-10-12,32.1,32.3,31.5,31.55,29107
2020-10-13,31.65,31.85,31.15,31.55,15402
2020-10-14,31.65,32.1,31.6,31.6,16679
2020-10-15,31.5,31.8,31.35,31.45,9850
2020-10-16,31.3,31.75,31.1,31.15,15999
2020-10-19,31.4,31.8,31.2,31.7,15631
2020-10-20,31.75,32.15,31.6,31.8,21908
2020-10-21,32.05,32.15,31.8,31.85,16480
2020-10-22,31.8,32,31.65,31.85,12967
2020-10-23,32,33.25,31.85,32.9,112572
2020-10-26,33.35,34,32.8,34,144327
2020-10-27,34.35,35.2,32.9,33,323191
2020-10-28,33.45,33.9,33.1,33.3,83059
2020-10-29,32.8,33.15,32.6,33.05,44950
2020-10-30,33,33.15,32,32,46967
2020-11-02,32.3,32.5,31.4,31.4,31424
2020-11-03,31.75,32.05,31.5,31.8,27542
2020-11-04,32.1,32.2,31.65,32,24194
2020-11-05,31.8,31.95,31.5,31.95,21528
2020-11-06,32.2,32.35,31.65,31.7,24390
2020-11-09,32,32.1,31.75,31.95,23722
2020-11-10,31.95,32,31.4,31.5,24192
2020-11-11,31.35,31.45,31,31.05,33873
2020-11-12,31.25,31.45,31,31.15,20935
2020-11-13,31.2,31.35,30.6,31.35,22525
2020-11-16,31.7,32.35,31.55,32.25,66052
2020-11-17,32.95,33.95,32.9,33.65,151130
2020-11-18,33.85,34.4,33.8,33.95,109034
2020-11-19,34.1,34.55,33.95,34.5,75871
2020-11-20,34.8,35.9,34.75,35.25,120921
2020-11-23,36,37.8,35.5,36.7,164442
2020-11-24,37.55,37.75,35.7,35.9,101452
2020-11-25,36.7,37.2,35.5,36.15,75865
2020-11-26,36.35,36.6,35.6,36.4,43947
2020-11-27,38,38.7,37.1,38.15,184917
2020-11-30,38.45,39.15,38.05,38.5,94713
2020-12-01,39.5,39.8,38.35,39.6,114076
2020-12-02,39.95,41.9,39.8,41.65,179280
2020-12-03,42.55,42.6,40.6,41.1,119099
2020-12-04,41.75,44.25,41.55,43.6,182208
2020-12-07,45,46.9,43.85,44.45,160146
2020-12-08,42.75,43.1,41.5,42.05,128621
2020-12-09,42.4,43.3,42.25,43,71558
2020-12-10,42.3,42.4,40.6,41.75,70029
2020-12-11,42.6,42.75,40.7,41.75,58680
2020-12-14,41.8,42.3,40.8,41.45,37370
2020-12-15,41.65,41.7,40.05,40.05,42878
2020-12-16,40.9,41.25,40.35,40.5,30186
2020-12-17,40.75,41.25,40.1,41.2,37882
2020-12-18,41.95,41.95,40.7,40.75,47406
2020-12-21,40.6,41.1,39.9,40.55,39827
2020-12-22,40.25,41.15,38.85,38.95,63392
2020-12-23,39,40.1,38.8,40.1,37817
2020-12-24,40.2,40.9,39.5,40.35,55461
2020-12-25,40.7,41.1,40.2,40.4,31055
2020-12-28,41,44.1,40.95,43.8,163550
2020-12-29,43.8,43.8,41.8,41.85,101039
2020-12-30,42.1,43.25,41.4,42.35,74974
2020-12-31,43.15,43.85,41.9,42.3,70938
2021-01-04,42.55,42.7,40.7,40.9,68570
2021-01-05,40.9,41.25,40.2,40.5,41126
2021-01-06,40.65,40.95,38.7,39.2,80953
2021-01-07,39.65,39.85,38.85,39.55,36115
2021-01-08,40.5,41.1,40.1,40.25,56805
2021-01-11,40.2,40.2,39.5,39.9,33107
2021-01-12,40.05,40.75,39.1,39.3,40855
2021-01-13,39.5,40.15,39.25,39.75,27912
2021-01-14,40,41.2,39.75,40.4,53309
2021-01-15,40.75,40.9,39.6,39.95,60665
2021-01-18,39.95,39.95,37.25,38.2,66527
2021-01-19,38.7,39,38.35,38.5,31718
2021-01-20,39,39.85,38.3,38.3,67641
2021-01-21,39,40.45,39,39.6,49322
2021-01-22,40,40.8,40,40.8,59352
2021-01-25,40.85,42.75,40.7,42.75,99278
2021-01-26,43.45,43.5,41.5,42,90564
2021-01-27,42.3,42.45,40.3,40.7,62746
2021-01-28,39.6,40.45,39.2,39.6,53511
2021-01-29,40.5,40.7,39.1,39.3,38521
2021-02-01,39.35,40.45,38.6,40.45,32858
2021-02-02,40.7,41.15,39.95,40.25,46017
2021-02-03,40.6,40.9,39.9,40.25,22667
2021-02-04,40.25,40.55,39.9,40,16636
2021-02-05,40.4,41,40.1,40.95,36481
2021-02-17,43,43,41.35,41.65,62183
2021-02-18,42.2,45.8,42.2,45.8,226941
2021-02-19,45.8,46.7,44.6,46.35,162504
2021-02-22,47.65,50,46.8,47.2,169555
2021-02-23,46.5,47.15,45.7,46.55,77349
2021-02-24,46.65,48,45.65,45.65,95268
2021-02-25,47.1,48.4,46.75,48.4,116908
2021-02-26,46.8,47.65,46.55,47.2,104345
2021-03-02,48.75,48.75,45,45.1,99121
2021-03-03,45.2,45.45,43.4,44.2,64468
2021-03-04,43.7,43.7,41.7,41.9,95025
2021-03-05,40.65,41.35,40.3,40.35,72706
2021-03-08,41.25,41.4,40.05,40.15,56236
2021-03-09,40.5,40.75,39.85,40.4,47490
2021-03-10,40.85,42.15,40.75,41.95,56330
2021-03-11,42.5,43.45,42.35,43.45,62831
2021-03-12,44.5,45.1,43.95,44.6,94283
2021-03-15,44.6,44.6,43.75,44,35632
2021-03-16,44.4,44.45,43.35,43.6,44309
2021-03-17,43.65,43.95,43.2,43.9,27229
2021-03-18,44.4,44.6,44,44.35,28245
2021-03-19,44.4,45.1,44.05,44.75,74144
2021-03-22,44.8,44.85,43.85,44.6,38079
2021-03-23,44.95,45.1,43.9,43.95,41091
2021-03-24,43.85,44.65,43.15,43.45,39890
2021-03-25,43.5,43.7,42.85,42.95,24726
2021-03-26,43.1,44.15,43.1,44.05,25629
2021-03-29,44.4,45.1,43.8,45.05,60075
2021-03-30,45.3,45.7,44.2,44.65,64511
2021-03-31,44.45,45.15,44.2,44.35,37050
2021-04-01,45.1,45.95,44.85,45.3,100766
2021-04-06,46.15,46.4,45.35,45.45,44326
2021-04-07,45.8,45.85,45,45.35,31152
2021-04-08,45.5,46.2,45.45,45.85,46204
2021-04-09,46.25,49.15,45.7,47.7,165368
2021-04-12,48,48.1,46.4,46.8,98384
2021-04-13,47.1,47.9,44.8,44.95,81251
2021-04-14,45.45,45.6,43.9,44.7,67334
2021-04-15,45,45.6,44.85,45.3,39993
2021-04-16,46.45,47.85,46.3,47.15,131744
2021-04-19,47.5,47.85,46.55,47,66418
2021-04-20,47,48.4,46.35,46.9,76392
2021-04-21,46.6,47.4,46.55,46.95,42109
2021-04-22,47.5,47.65,44.1,44.9,72382
2021-04-23,45.25,46.8,45.05,46.75,46856
2021-04-26,47.5,48.65,47.4,48.05,116971
2021-04-27,48.15,48.75,47.55,48.6,102793
2021-04-28,47.7,47.85,46.75,46.8,126418
2021-04-29,46.95,47.1,45.8,45.85,55124
2021-05-03,46,47.1,45.3,45.55,66532
2021-05-04,46.35,46.65,42.35,44.9,75797
2021-05-05,44.6,45.15,42,42,65884
2021-05-06,42.5,42.8,40.5,40.95,51030
2021-05-07,41.7,43.7,41.65,43.1,64357
2021-05-10,43.3,43.75,42,42.6,41388
2021-05-11,40.6,41.1,39,39.7,67393
2021-05-12,39.4,39.9,35.75,36.85,73123
2021-05-13,35.2,38.35,35.05,38,48599
2021-05-14,39.35,40.35,38.2,38.3,47741
2021-05-17,35,37.5,34.55,34.9,49248
2021-05-18,35.95,38.35,35.75,38.35,49978
2021-05-19,38.35,39.15,37.4,38.4,34833
2021-05-20,38.1,38.45,37.4,37.6,23539
2021-05-21,38.45,39,37.7,38.8,22294
2021-05-24,38.3,39.6,37.85,39.05,23095
2021-05-25,39.7,41.5,39.5,40.35,53819
2021-05-26,41.25,41.9,40.6,40.8,35257
2021-05-27,40.5,40.95,40.1,40.7,19830
2021-05-28,41.9,43.45,41.6,42.5,80942
2021-05-31,42.95,43.05,42.05,42.2,35882
2021-06-01,43.15,44.8,42.85,43,69310
2021-06-02,43.9,44.1,42.65,43.25,46223
2021-06-03,43.5,43.65,42.85,43.25,32938
2021-06-04,43.2,43.25,42.25,42.65,25940
2021-06-07,42.7,43.3,41.5,43.25,24781
2021-06-08,43.9,44.05,43,43.05,24761
2021-06-09,43,43.15,42.25,42.35,17000
2021-06-10,42.7,44.15,42.65,44.05,52942
2021-06-11,44.15,45.3,43.8,44.2,76244
2021-06-15,45.05,45.35,44.35,44.6,30698
2021-06-16,44.5,44.9,43.55,43.9,23326
2021-06-17,44,44.8,43.8,44.7,24124
2021-06-18,45.45,45.65,44.85,45.1,45101
2021-06-21,44.6,44.8,43.5,43.55,32893
2021-06-22,44,44.15,42.2,42.3,35138
2021-06-23,42.5,43.05,41.9,42.85,49786
2021-06-24,44.1,45.65,43.9,45.4,114540
2021-06-25,45.9,46.5,44.9,44.95,77445
2021-06-28,45.35,45.45,44.25,45.1,30030
2021-06-29,45.4,45.9,44.3,44.3,34640
2021-06-30,44.85,45.7,44.3,45.7,33100
2021-07-01,45.4,45.45,44,44.2,31139
2021-07-02,44.25,45.3,43.9,45.1,27094
2021-07-05,45.35,45.8,44.9,45.15,21648
2021-07-06,45.15,45.4,44.45,44.5,14415
2021-07-07,44.6,44.95,44.15,44.5,15169
2021-07-08,45.1,45.25,43.95,44,36048
2021-07-09,43.3,44,42.8,43,37702
2021-07-12,43.55,43.75,43.05,43.05,19590
2021-07-13,43.55,45.3,43.35,44.45,92903
2021-07-14,43.8,44.25,42.95,43.05,43402
2021-07-15,43.1,43.35,42.85,43.1,24845
2021-07-16,43.35,44.2,43.25,43.8,34345
2021-07-19,43.5,43.5,43,43.15,18441
2021-07-20,42.75,42.75,41.8,42,31844
2021-07-21,42.5,42.55,40.1,40.5,46698
2021-07-22,41.3,41.75,40.45,40.95,33555
2021-07-23,41.9,42.75,41.6,42.3,34236
2021-07-26,42.3,43.2,42.05,43,31321
2021-07-27,43.5,43.8,42.5,42.9,31448
2021-07-28,42.5,43,40.7,41.15,59902
2021-07-29,41.6,41.6,40.6,41.4,28404
2021-07-30,41.05,42.5,40.95,41.5,36512
2021-08-02,42.3,44.15,42.2,44.1,86606
2021-08-03,43.65,43.65,42.85,43.35,41109
2021-08-04,43.9,44.3,43.65,44.25,38620
2021-08-05,44.3,45.5,43.85,45.45,84343
2021-08-06,46.5,48,44,44,242770
2021-08-09,43.7,43.9,42.95,43.1,35169
2021-08-10,43.25,43.7,42.5,42.7,27978
2021-08-11,42.4,42.4,41,41.55,45017
2021-08-12,41.05,41.25,40.5,40.8,36797
2021-08-13,40.6,40.65,38.15,38.2,86793
2021-08-16,37.75,38.65,37.2,37.95,37263
2021-08-17,38.15,38.3,37.45,37.65,25102
2021-08-18,37.3,39.75,37.2,39.7,48518
2021-08-19,38.9,39,38.05,38.2,27381
2021-08-20,38.35,38.65,37.55,37.75,18702
2021-08-23,38.35,39.05,38.25,38.8,15354
2021-08-24,39.15,39.35,38.1,38.6,19066
2021-08-25,38.75,39.45,38.5,39.3,16995
2021-08-26,39.65,39.75,38.85,39.25,14756
2021-08-27,39.3,39.6,38.9,39.15,15660
2021-08-30,39.55,39.7,39.15,39.65,16298
2021-08-31,39.8,40.3,39.5,40.3,22962
2021-09-01,40.3,41.7,40.2,41.6,30675
2021-09-02,41,41.4,40.5,40.9,24101
