Date,Open,High,Low,Close,Volume
2020-09-30,7.85,7.89,7.73,7.81,906000.0
2020-10-05,7.88,8.08,7.84,8.03,2324000.0
2020-10-06,8.12,8.12,7.95,7.96,2587000.0
2020-10-07,7.96,8.08,7.91,8.02,1276000.0
2020-10-08,8.08,8.08,7.92,7.95,977000.0
2020-10-12,7.86,7.89,7.72,7.8,1530000.0
2020-10-13,7.74,7.84,7.71,7.79,1238000.0
2020-10-14,7.88,7.88,7.72,7.79,764000.0
2020-10-15,7.8,7.8,7.67,7.7,1449000.0
2020-10-16,7.7,7.75,7.62,7.73,1097000.0
2020-10-19,7.7,7.83,7.7,7.71,695000.0
2020-10-20,7.71,7.76,7.64,7.74,361000.0
2020-10-21,7.78,7.78,7.7,7.73,545000.0
2020-10-22,7.73,7.75,7.69,7.72,600000.0
2020-10-23,7.71,7.81,7.69,7.74,1234000.0
2020-10-26,7.75,8.27,7.75,8.14,8341000.0
2020-10-27,8.05,8.21,7.95,8.02,3530000.0
2020-10-28,8.09,8.24,8.02,8.04,3724000.0
2020-10-29,7.97,8.06,7.88,8.04,1318000.0
2020-10-30,8.18,8.18,7.91,7.91,1307000.0
2020-11-02,8,8.14,7.91,7.95,1124000.0
2020-11-03,8.03,8.29,8.03,8.19,4850000.0
2020-11-04,8.29,8.36,8.07,8.1,2491000.0
2020-11-05,8.1,8.15,8.01,8.02,1160000.0
2020-11-06,8.05,8.1,7.98,8.02,1424000.0
2020-11-09,8.03,8.28,8.03,8.07,2342000.0
2020-11-10,8.24,8.28,8.08,8.08,2479000.0
2020-11-11,8.1,8.15,8.04,8.08,1457000.0
2020-11-12,8.1,8.15,8,8.01,1157000.0
2020-11-13,8.01,8.05,7.9,7.96,1305000.0
2020-11-16,8,8.08,7.92,7.92,1022000.0
2020-11-17,7.92,7.97,7.85,7.94,991000.0
2020-11-18,7.94,8.08,7.92,7.99,951000.0
2020-11-19,8.05,8.05,7.94,7.99,612000.0
2020-11-20,7.99,7.99,7.93,7.95,722000.0
2020-11-23,8.05,8.08,8,8.08,1029000.0
2020-11-24,8.1,8.16,8.08,8.08,1659000.0
2020-11-25,8.18,8.2,8.12,8.16,1603000.0
2020-11-26,8.25,8.46,8.21,8.45,6755000.0
2020-11-27,8.55,8.6,8.34,8.34,5291000.0
2020-11-30,8.43,8.7,8.4,8.5,5390000.0
2020-12-01,8.62,8.66,8.41,8.45,2982000.0
2020-12-02,8.6,8.6,8.43,8.44,1689000.0
2020-12-03,8.44,8.62,8.4,8.41,2221000.0
2020-12-04,8.52,8.52,8.35,8.38,1517000.0
