Date,Open,High,Low,Close,Volume
2020-09-29,49.35,49.35,48.35,48.9,34
2020-09-30,48.95,49,48.8,48.9,30
2020-10-05,48.9,49.2,48.9,49,25
2020-10-06,49.65,50.4,49.25,49.6,78
2020-10-07,49.9,50.3,49.6,49.7,45
2020-10-08,50.5,50.5,49.45,50,89
2020-10-12,49.9,49.9,48.5,48.8,57
2020-10-13,49.2,49.2,48.65,48.65,21
2020-10-14,48.65,49.8,48.65,49.5,136
2020-10-15,49.85,49.85,48.8,49,45
2020-10-16,49.35,49.35,48.5,49,32
2020-10-19,49.2,49.3,48.5,48.9,56
2020-10-20,48.8,48.8,47.7,48.3,168
2020-10-21,48.6,48.9,48.3,48.45,45
2020-10-22,48.45,48.8,48.45,48.6,22
2020-10-23,48.6,48.8,48.45,48.7,34
2020-10-26,49.05,50.6,49,50,214
2020-10-27,52,54.1,51.4,52.4,881
2020-10-28,53.4,55,52,52,821
2020-10-29,51.4,52.3,50.7,51.5,186
2020-10-30,52.1,52.1,50.5,50.9,118
2020-11-02,51.3,51.5,50.9,51.1,94
2020-11-03,51.7,51.7,51,51.1,78
2020-11-04,51.6,55,50.6,54.7,652
2020-11-05,55.2,55.3,53.1,53.3,490
2020-11-06,53.8,54,53.1,53.7,217
2020-11-09,54.4,54.8,53.8,53.9,245
2020-11-10,54.7,54.7,52.2,52.6,251
2020-11-11,53.1,53.3,52.7,52.7,97
2020-11-12,53.3,53.3,51.8,52,105
2020-11-13,52.5,52.6,52.1,52.2,117
2020-11-16,52.9,53,52.1,52.3,77
2020-11-17,52.2,52.6,51.9,52.1,76
2020-11-18,52.1,52.7,51.9,52.6,149
2020-11-19,52.6,52.9,52.1,52.2,71
2020-11-20,52.2,52.5,52,52.5,99
2020-11-23,52.4,53.5,52.3,53.5,134
2020-11-24,53.5,53.5,52.7,52.7,69
2020-11-25,53.1,53.1,51.1,52.5,82
2020-11-26,52.9,53.4,52.5,53.1,87
2020-11-27,53.1,53.2,52.8,52.9,61
2020-11-30,52.7,52.7,51.9,52.1,161
2020-12-01,51.9,52.2,51.7,51.9,51
2020-12-02,52.3,52.6,52.1,52.2,50
2020-12-03,52.3,52.9,52.3,52.4,67
2020-12-04,52.4,52.8,52.3,52.4,58
2020-12-07,52.4,53.7,52.4,53.4,168
2020-12-08,53.4,54.7,53.4,54.1,353
2020-12-09,54.3,57,53.5,57,774
2020-12-10,58,60.2,57.7,59,1943
2020-12-11,59.1,62,58.2,61,2942
2020-12-14,63.5,67.1,61.8,67,6972
2020-12-15,66.2,68.5,62.6,64.3,3400
2020-12-16,66,70.7,65.6,70.2,3875
2020-12-17,70.5,72.7,69,70.8,2409
2020-12-18,72.1,72.4,68.3,68.8,1977
2020-12-21,69.9,70.4,66.1,69.8,1773
2020-12-22,68.1,69.6,64.1,65,1480
2020-12-23,64.2,67.4,64.2,67.3,672
2020-12-24,67.3,67.8,66.5,66.8,486
2020-12-25,68,70.5,67,68.5,1568
2020-12-28,70.5,75.3,70.5,75.3,3700
2020-12-29,78.1,79.9,72.4,72.5,3141
2020-12-30,72.2,73.2,70.5,71.2,823
2020-12-31,71.9,72.5,68.9,70.3,1100
2021-01-04,70.5,71.7,70,71.5,704
2021-01-05,71.7,71.9,70,70.5,392
2021-01-06,70.5,70.6,67.2,67.6,874
2021-01-07,68.2,69.4,67.6,68.6,459
2021-01-08,68.6,68.7,67.2,67.5,344
2021-01-11,67.5,68.4,67.2,67.6,276
2021-01-12,68.5,68.5,65,65,390
2021-01-13,64.4,65.4,63.7,63.8,393
2021-01-14,64,65.7,64,65.4,329
2021-01-15,66.2,66.2,63,63.1,331
2021-01-18,62.6,62.6,60.5,61.5,248
2021-01-19,62.2,63.3,61.5,61.7,211
2021-01-20,61.7,61.8,58,58,411
2021-01-21,58.6,62.8,58.6,61.1,426
2021-01-22,63.6,63.7,62.4,63.3,315
2021-01-25,63.5,63.7,62.1,62.6,242
2021-01-26,62.7,62.9,60.8,61,144
2021-01-27,62.5,63.7,61.5,61.8,260
2021-01-28,61,62.4,60.8,61.8,83
2021-01-29,62.5,62.5,60.2,60.2,99
2021-02-01,60.3,60.3,59,60,94
2021-02-02,60.5,62.3,59.8,61.5,162
2021-02-03,62.4,62.4,60.5,61,103
2021-02-04,61,61.6,60.1,61.1,53
2021-02-05,61.8,61.8,60.8,60.8,102
2021-02-17,62.1,64.8,62.1,63.8,265
2021-02-18,65,66,64.5,66,509
2021-02-19,66,66.3,64.5,64.7,177
2021-02-22,65.9,66.6,65.3,66.2,384
2021-02-23,66.2,66.2,65.3,65.4,150
2021-02-24,65.6,65.9,64,64.1,156
2021-02-25,64.6,64.7,64.1,64.6,171
2021-02-26,65,70.9,65,68.8,1800
2021-03-02,70,73.3,69.4,72,2915
2021-03-03,71,71.5,68.2,68.6,1227
2021-03-04,68.4,69.9,67.1,67.6,446
2021-03-05,66.3,68,65.9,66.4,296
2021-03-08,66.9,68,66.2,66.2,222
2021-03-09,66.5,67.5,65.5,66.7,190
2021-03-10,67.2,67.4,66.3,66.6,155
2021-03-11,66.9,67.4,66.9,67.1,197
2021-03-12,67.9,67.9,66.8,67,193
2021-03-15,68,70.2,67.8,70,596
2021-03-16,70.2,70.5,68.5,68.7,395
2021-03-17,70.8,72.3,70.3,71.5,1483
2021-03-18,72.8,73.9,71.3,71.5,1231
2021-03-19,71.5,72.3,71.4,71.6,589
2021-03-22,72.3,73,71.3,71.9,846
2021-03-23,72,72,69.3,69.4,566
2021-03-24,69.4,70.1,69,69.8,109
2021-03-25,70.3,70.3,69,69.1,110
2021-03-26,69.8,70.7,69.4,70.5,213
2021-03-29,71.1,71.1,70,70.2,342
2021-03-30,70.4,70.7,69.8,70.2,170
2021-03-31,70.2,71.3,70.2,71.1,353
2021-04-01,71.8,71.9,70.6,70.6,171
2021-04-06,70.7,71.1,70,70.5,205
2021-04-07,70.7,71.6,70.7,71.1,380
2021-04-08,71.2,71.6,70.6,71,241
2021-04-09,71.1,71.3,68.5,68.8,605
2021-04-12,68.6,69.3,67.9,67.9,455
2021-04-13,67.3,68.5,67.3,67.8,226
2021-04-14,68,68,65.8,67,248
2021-04-15,67,67.6,66.6,67.4,124
2021-04-16,67.6,68.5,67.6,68.5,149
2021-04-19,69.4,70.3,68.7,69.6,412
2021-04-20,70.4,70.5,69,69.3,175
2021-04-21,69.3,71.9,69.3,71.8,797
2021-04-22,72.5,73.4,68.4,68.5,1094
2021-04-23,69.5,69.5,67,67.8,375
2021-04-26,68.5,70,67.8,69.5,334
2021-04-27,69.5,69.5,68.3,68.4,182
2021-04-28,68.9,68.9,67.6,68.2,153
2021-04-29,68.8,68.8,67.5,67.7,188
2021-05-03,68.3,70.2,67.9,68.4,414
2021-05-04,69.6,69.6,63,64.3,402
2021-05-05,64.5,66,64.3,65,204
2021-05-06,66,66,62.8,63.5,583
2021-05-07,64.5,67.3,63.6,66.9,368
2021-05-10,67,68.2,66,66.5,446
2021-05-11,66.5,66.5,62.5,62.9,362
2021-05-12,63,63,56.7,57.8,593
2021-05-13,56.7,57.5,54.6,56.9,223
2021-05-14,56.5,57.9,55.5,56,322
2021-05-17,53,54,50.7,51.8,297
2021-05-18,53.4,56.2,51.9,55.7,182
2021-05-19,55.7,57.5,55.1,56.5,109
2021-05-20,57,57,55.2,55.7,105
2021-05-21,56.5,58.4,56,58,233
2021-05-24,57.9,59.7,57.8,59.3,189
2021-05-25,60.5,60.5,58.3,58.8,183
2021-05-26,58.9,59.9,58,59.5,105
2021-05-27,60.4,62.4,60.4,61.8,282
2021-05-28,63.1,64.2,62,64,187
2021-05-31,65,65.9,63.7,64.2,306
2021-06-01,65.1,66,63,65.5,303
2021-06-02,66.8,72,66.1,72,2977
2021-06-03,78.9,79.2,76.3,79.2,1892
2021-06-04,87.1,87.1,87.1,87.1,1570
2021-06-07,90,90.3,78.4,78.4,6939
2021-06-08,78.5,86.2,78.4,86.2,6546
2021-06-09,87.8,94.3,84.4,84.4,10636
2021-06-10,85,89.7,79.6,84.7,6911
2021-06-11,86,91.1,84.7,86.6,6506
2021-06-15,86.8,91,86.6,86.9,3821
2021-06-16,87,89.8,83.6,83.6,2571
2021-06-17,83.6,91.9,81.5,91.9,6171
2021-06-18,100.5,101,98,101,2455
2021-06-21,111,111,111,111,1299
2021-06-22,122,122,116.5,122,6541
2021-06-23,115,120,110,110,5628
2021-06-24,106,120.5,102,115.5,7118
2021-06-25,117.5,125,115,115,7043
2021-06-28,118.5,125,117,120,6981
2021-06-29,121,123.5,109,109.5,5257
2021-06-30,113,119,108,115,3487
2021-07-01,117,126.5,114,126.5,10529
2021-07-02,130,132,115,118,10566
2021-07-05,118,120,107,111,3133
2021-07-06,111,117.5,107,108.5,2604
2021-07-07,105.5,113.5,102,105,2398
2021-07-08,107,110,101,106,1959
2021-07-09,104.5,108,100,101,1152
2021-07-12,104.5,105.5,97.2,99.5,1701
2021-07-13,101.5,101.5,90.5,93.9,1517
2021-07-14,97,97,88.1,91.9,1129
2021-07-15,95,101,93,101,2769
2021-07-16,98,104,93,93,3132
2021-07-19,94.5,95.7,92.5,94,670
2021-07-20,94,94,90.1,90.3,578
2021-07-21,92.3,94.5,87.2,88.3,808
2021-07-22,90,91.4,87.2,91,722
2021-07-23,93.4,97,91,94.3,967
2021-07-26,95,97,92,92,761
2021-07-27,93,93.5,88.2,88.8,451
2021-07-28,90,92,86,88.8,500
2021-07-29,90.8,96.5,89.2,93.4,998
2021-07-30,93.8,94.6,88.1,88.4,662
2021-08-02,88.5,91.5,87.4,90.6,354
2021-08-03,91.2,92.5,89.7,91,292
2021-08-04,91.8,92,90.6,91,380
2021-08-05,89.2,89.3,84.6,85,538
2021-08-06,85.8,90.3,85.2,87.4,720
2021-08-09,88.9,96.1,88.1,94.5,4261
2021-08-10,94.1,96,86.4,87.3,3302
2021-08-11,88.5,88.9,84.6,85,654
2021-08-12,86.1,87.5,85.3,87.2,471
2021-08-13,87.7,88.9,85.4,85.4,483
2021-08-16,85.2,86,78.8,78.8,487
2021-08-17,79.2,80.8,75,75,473
2021-08-18,75,81.6,74,80,779
2021-08-19,80,82.7,78.2,78.2,550
2021-08-20,79.1,80.5,76.9,79.1,306
2021-08-23,81.3,86.5,81.3,84.7,789
2021-08-24,87.5,88,83,83.7,672
2021-08-25,84.1,86.5,83,85.1,331
2021-08-26,88,88,84.4,86.1,273
2021-08-27,85.9,86.3,84.4,84.4,182
2021-08-30,85.7,85.9,84.1,84.8,86
2021-08-31,85.4,86,83.7,84,128
2021-09-01,84.3,85.5,81.3,81.4,203
2021-09-02,81.6,83.5,80.6,81.2,189
2021-09-03,82.3,82.5,78.3,79.3,170
2021-09-06,79.3,79.6,77.5,78.5,164
2021-09-07,79,84.4,78.3,79.4,356
2021-09-08,81.5,81.5,78.9,79.3,235
2021-09-09,79.9,81.4,78.5,79,160
2021-09-10,79,79.2,77,77.9,252
2021-09-13,77.6,79.5,77.6,77.8,135
2021-09-14,79,79,77,77.2,125
2021-09-15,77.4,77.7,75.5,76.8,123
2021-09-16,77,77.4,76.3,77.4,64
2021-09-17,76.1,77.9,76.1,77.5,88
2021-09-22,75.5,76.5,75.5,76,75
2021-09-23,76.3,76.9,75.6,76.3,88
2021-09-24,76.5,77.7,76.5,76.5,135
2021-09-27,77,77.3,76.5,76.9,75
