TestGroup,Test,LowerLimit,UpperLimit,DeltaLimit,TestNumber,B1-S1,B301-S1,B302-S1,B307-S1,B339-S1,B352-S1,B355-S1,B306-S1,B307-S1,B317-S1,B325-S1,B311-S1,B316-S1,B327-S1,B344-S1,B367-S1,Gold1,Gold301,Gold302,Gold303,Gold304,Gold305,Gold306,Gold307,Gold308,Gold309,Gold310,Gold311,Gold312,Gold313,Gold314,Gold315,Gold316,Gold317,Gold318,Gold319,Gold320,Gold321,Gold322,Gold323,Gold324,Gold325,Gold326,Gold327,Gold328,Gold329,Gold330,Gold331,Gold332,Gold333,Gold334,Gold335,Gold336,Gold337,Gold338,Gold339,Gold340,Gold341,Gold342,Gold343,Gold344,Gold345,Gold346,Gold347,Gold348,Gold349,Gold350,Gold351,Gold352,Gold353,Gold354,Gold355,Gold356,Gold357,Gold358,Gold359,Gold360,Gold361,Gold362,Gold363,Gold364,Gold365,Gold366,Gold367,,Gold1-B1-S1,Gold1-B301-S1,Gold1-B302-S1,Gold1-B307-S1,Gold1-B339-S1,Gold1-B352-S1,Gold1-B355-S1,Gold1-B306-S1,Gold1-B307-S1,Gold1-B317-S1,Gold1-B325-S1,Gold1-B311-S1,Gold1-B316-S1,Gold1-B327-S1,Gold1-B344-S1,Gold1-B367-S1
TX3_4G_FDD_Band01_CCA,G0D1_RF,2.35,8.35,0.15,10571,5.15789,4.90351,4.95115,4.96356,4.90619,4.90559,4.95069,4.96981,4.90161,4.9607,4.91,4.91651,5.01338,4.8348,4.90379,4.9179,5.65645,6.3597866,6.0604911,6.1466779,6.2007783,5.7603486,6.5978184,6.4178353,5.8837425,5.9533587,6.214585,5.7288779,5.781462,5.0971027,6.2626315,5.9250281,6.2196407,5.9115467,6.1584305,6.0634489,6.0404212,6.3054258,6.2827331,6.1855181,6.2126839,6.0242923,5.7805666,5.6181736,6.3107587,6.3754127,5.9768388,6.5006305,6.4515507,6.2112063,6.2074121,5.7525308,5.826421,6.2673824,5.5813271,5.9011942,6.7566187,5.7308937,5.9478297,5.6913852,6.1415982,6.0001897,5.9851099,6.1857179,6.6981036,5.9099048,6.2252907,5.5505777,5.8652894,6.1096072,6.0693893,6.2082775,5.8870381,5.7759947,6.8621329,6.0427195,5.990999,6.3041928,5.4660622,6.171264,6.2793631,5.8216057,5.8596733,5.9119518,,0.49856000000000034,0.7529400000000006,0.7053000000000003,0.6928900000000002,0.7502600000000008,0.7508600000000003,0.7057600000000006,0.6866400000000006,0.7548400000000006,0.6957500000000003,0.7464500000000003,0.7399400000000007,0.6430700000000007,0.82165,0.7526600000000006,0.73855
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,CCA_Total_channelPower,1.9,7.9,0.15,10839,4.53707,4.27071,4.31595,4.35854,4.27827,4.27266,4.25998,4.35636,4.26675,4.31971,4.31747,4.27774,4.36996,4.22164,4.28423,4.2828,1.01761,1.7113175,1.4039103,1.5271877,1.6130128,1.0962964,1.9827819,1.8494809,1.3468742,1.1772592,1.6243537,1.0778928,1.1191821,0.45909003,1.6103165,1.2142268,1.6610687,1.2335811,1.5119656,1.359135,1.3741895,1.6599565,1.7637042,1.6393648,1.5899818,1.4185334,1.1319589,0.98352069,1.6390936,1.709085,1.3198787,1.9483205,1.7667075,1.5305985,1.5299538,1.1268081,1.1891887,1.6142976,1.0572512,1.2203028,2.2249041,1.1222653,1.3633278,1.0784154,1.6098264,1.4130396,1.3448432,1.5256151,2.1140172,1.2619663,1.5711299,0.94460934,1.1601163,1.4701268,1.3516406,1.5950209,1.2243327,1.1758492,2.2026322,1.4247103,1.3785299,1.6273941,0.61508284,1.5695258,1.6063484,1.1653101,1.2318792,1.2527973,,-3.51946,-3.2531000000000003,-3.29834,-3.3409299999999997,-3.26066,-3.25505,-3.2423699999999998,-3.3387499999999997,-3.24914,-3.3021,-3.2998600000000002,-3.2601299999999998,-3.35235,-3.20403,-3.26662,-3.26519
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_E_UTRA_LOW,2,8,0.5,10853,4.17521,3.43319,3.45217,3.73597,3.52593,3.3881,3.33599,3.83048,3.28647,3.66848,3.43848,3.47185,4.02196,3.52918,3.33025,3.58805,-48.2791,-45.953504,-47.277463,-47.086958,-45.914819,-48.235351,-44.814302,-45.801682,-47.138227,-46.210171,-46.495211,-48.519415,-48.063808,-48.770967,-46.431168,-47.848314,-45.410928,-48.029214,-47.361044,-47.799459,-47.12472,-46.168848,-44.206992,-46.188995,-46.230393,-47.217314,-48.062626,-48.275744,-46.144137,-46.27649,-47.451699,-44.40115,-46.34317,-47.023513,-46.793544,-48.174582,-47.789176,-46.655283,-48.085623,-48.037803,-43.499535,-48.01993,-47.252013,-47.984798,-46.291305,-46.452639,-47.480034,-46.594174,-44.845869,-47.512364,-46.431709,-48.344537,-47.774897,-46.892943,-47.402678,-46.774539,-47.705584,-47.826846,-43.580817,-47.249462,-47.481974,-46.418734,-48.702539,-47.251754,-45.950895,-47.952733,-47.439762,-47.943005,,-52.45431,-51.71229,-51.73127,-52.01507,-51.80503,-51.6672,-51.61509,-52.10958,-51.56557,-51.94758,-51.71758,-51.75095,-52.30106,-51.808279999999996,-51.60935,-51.86715
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_ACLR1_LOW,2,8,0.5,10854,4.87083,4.069,4.16026,4.36485,4.1805,4.07981,3.97625,4.53276,3.94096,4.32555,4.11625,4.1476,4.74138,4.24915,4.00717,4.31265,-53.2374,-50.625165,-52.079091,-51.982951,-50.715585,-53.051523,-49.563826,-50.492242,-52.121804,-51.032911,-51.32885,-53.397597,-52.927855,-53.60571,-51.299423,-52.774241,-50.234562,-52.83573,-52.085446,-52.69665,-52.0315,-50.929228,-48.993382,-50.987297,-51.049518,-52.114144,-52.990536,-53.171327,-50.88892,-51.026993,-52.366128,-49.138463,-51.042467,-51.789592,-51.535708,-53.081291,-52.713978,-51.441007,-52.8155,-52.90538,-48.231754,-52.838604,-52.097534,-52.923819,-51.146225,-51.307361,-52.231184,-51.246941,-49.546847,-52.386121,-51.187078,-53.277222,-52.693753,-51.804912,-52.263944,-51.611909,-52.582243,-52.736148,-48.28543,-52.054684,-52.260372,-51.180451,-53.553287,-52.055052,-50.806316,-52.750069,-52.328011,-52.722092,,-58.10823,-57.306400000000004,-57.39766,-57.60225,-57.4179,-57.31721,-57.21365,-57.770160000000004,-57.17836,-57.56295,-57.35365,-57.385,-57.97878,-57.48655,-57.24457,-57.55005
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_E_UTRA_UP,-0.05,6,0.5,10857,3.02434,2.49493,2.70878,2.73204,2.53258,2.59483,2.40844,2.72383,2.42626,2.65279,2.76038,2.62737,2.76871,2.43492,2.55745,2.67775,-45.7909,-44.316785,-45.403424,-45.340284,-45.215857,-45.642497,-43.985036,-43.94506,-45.773687,-45.759748,-45.1577,-45.872049,-45.641275,-45.955666,-45.282027,-45.815561,-45.032866,-45.282263,-44.835239,-45.376841,-45.395709,-44.776722,-44.659585,-45.047179,-45.391137,-45.624038,-45.834575,-46.312787,-44.860112,-44.449285,-45.842574,-44.042136,-44.286845,-44.909379,-44.436045,-46.023688,-45.830413,-44.667291,-45.363958,-45.836389,-42.975171,-45.646535,-45.680778,-45.772799,-44.805054,-45.841593,-45.19374,-44.7801,-43.597274,-45.815964,-45.198106,-46.461765,-45.831767,-45.117555,-45.189229,-44.897253,-45.578824,-45.815046,-42.766637,-45.600248,-45.173944,-44.617509,-45.865191,-44.901987,-45.079889,-45.171579,-45.877971,-45.137243,,-48.81524,-48.285830000000004,-48.49968,-48.52294,-48.32348,-48.38573,-48.19934,-48.51473,-48.21716,-48.443690000000004,-48.55128,-48.41827,-48.55961,-48.22582,-48.34835,-48.468650000000004
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_ACLR1_UP,2,8,0.5,10858,3.81662,3.21657,3.45061,3.4504,3.27312,3.32695,3.07899,3.41065,3.1268,3.43371,3.54257,3.39558,3.47655,3.20725,3.27393,3.44881,-51.0625,-49.636036,-50.715704,-50.780322,-50.65894,-50.897744,-49.384497,-49.27563,-51.158695,-51.227864,-50.527179,-51.173846,-50.993696,-51.122871,-50.758889,-51.199392,-50.427727,-50.585648,-50.151156,-50.769025,-50.840382,-50.203186,-49.989401,-50.348806,-50.767366,-51.008367,-51.1427,-51.669248,-50.249019,-49.820469,-51.226121,-49.382192,-49.670519,-50.285841,-49.785624,-51.450068,-51.213166,-49.958327,-50.626042,-51.159746,-48.331036,-50.970725,-51.027768,-51.079097,-50.207763,-51.239554,-50.553746,-50.079852,-48.874151,-51.123496,-50.583897,-51.817756,-51.201461,-50.564175,-50.533345,-50.36704,-50.91857,-51.201743,-48.033895,-50.943923,-50.518514,-49.992585,-51.085897,-50.305363,-50.476102,-50.477758,-51.241123,-50.450699,,-54.87912,-54.27907,-54.51311,-54.5129,-54.33562,-54.38945,-54.14149,-54.47315,-54.1893,-54.49621,-54.60507,-54.45808,-54.53905,-54.26975,-54.33643,-54.51131
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,CCA_UP_channelPower,2,8,0.15,10846,4.63578,4.38771,4.43315,4.47667,4.39498,4.38994,4.37857,4.47032,4.38455,4.43508,4.43422,4.39306,4.48816,4.33943,4.40009,4.39837,-1.97846,-1.2581306,-1.5788794,-1.4380305,-1.3746194,-1.8756155,-0.9925203,-1.1427538,-1.6476661,-1.7890637,-1.3720406,-1.886454,-1.8720683,-2.5091273,-1.3577767,-1.7642242,-1.3262705,-1.7372233,-1.4775973,-1.6017067,-1.6031744,-1.3231104,-1.1957056,-1.35919,-1.3962279,-1.5588833,-1.8472769,-1.9794247,-1.3171079,-1.2630967,-1.6514815,-1.0476726,-1.2036917,-1.4368593,-1.4419788,-1.857851,-1.792252,-1.3749118,-1.9179112,-1.7626499,-0.74648575,-1.8531972,-1.6047812,-1.9151165,-1.3704506,-1.5684549,-1.6334985,-1.4622548,-0.88660139,-1.7193637,-1.4096173,-2.0312372,-1.8212463,-1.5031566,-1.6249825,-1.3899107,-1.7544413,-1.8009712,-0.77807774,-1.5465317,-1.6009722,-1.3463487,-2.3462535,-1.4315121,-1.3798818,-1.8071832,-1.7476376,-1.7178597,,-6.61424,-6.36617,-6.4116100000000005,-6.4551300000000005,-6.37344,-6.3684,-6.35703,-6.44878,-6.36301,-6.41354,-6.41268,-6.37152,-6.46662,-6.31789,-6.37855,-6.37683
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,CCA_LOW_channelPower,1.53,7.53,0.15,11211,4.16023,3.87613,3.92129,3.96308,3.88407,3.8779,3.86401,3.96475,3.8716,3.92671,3.9232,3.88476,3.97438,3.82626,3.89082,3.88961,-2.28665,-1.6187248,-1.9131784,-1.8069782,-1.699393,-2.2313478,-1.3415672,-1.4584848,-1.9588701,-2.155829,-1.679606,-2.2571236,-2.1897326,-2.8721515,-1.7210458,-2.1070659,-1.6516206,-2.0951407,-1.7985768,-1.9793056,-1.9481577,-1.6568635,-1.5761369,-1.662518,-1.723799,-1.9037626,-2.1885726,-2.3528642,-1.7038885,-1.6182971,-2.0083021,-1.3560254,-1.5624087,-1.801383,-1.7976703,-2.188472,-2.1292059,-1.6965858,-2.2672334,-2.0966282,-1.1032479,-2.2019279,-1.9680191,-2.2282999,-1.7096962,-1.9053032,-1.9765557,-1.7865621,-1.1858823,-2.0565359,-1.7479369,-2.379211,-2.1583542,-1.8561839,-1.9714258,-1.7199954,-2.0966471,-2.1470258,-1.1164709,-1.9035862,-1.9417439,-1.6984702,-2.7228741,-1.7299712,-1.7074126,-2.1617689,-2.0883798,-2.0760685,,-6.44688,-6.16278,-6.20794,-6.24973,-6.170719999999999,-6.16455,-6.15066,-6.2514,-6.15825,-6.21336,-6.209849999999999,-6.17141,-6.26103,-6.112909999999999,-6.17747,-6.176259999999999
TX5_4G_FDD_Band01_CCA_TX0_MB2_G13b_ACLR,CCA_Total_channelPower,2.18,8.18,0.15,10861,5.33625,5.05939,5.11824,5.14967,5.0443,5.068,5.06019,5.13954,5.03065,5.14116,5.08693,5.07348,5.13523,4.99848,5.07322,5.09704,-9.71318,-8.1610449,-9.3886709,-8.413401,-8.3550209,-9.5611178,-8.0871327,-9.1373744,-9.5367363,-10.526953,-8.7641886,-9.2661176,-8.5771295,-9.7815609,-8.012879,-8.6671515,-9.5467901,-8.7503868,-9.1051983,-8.3531033,-9.5014682,-7.6079188,-8.3715498,-8.2189064,-7.9421962,-9.7570304,-9.8136134,-9.0178559,-9.9753862,-9.9186664,-9.0157547,-8.5318639,-9.2756422,-10.015588,-9.0193031,-9.7506935,-9.7178015,-10.241319,-10.064655,-9.2840707,-8.9148563,-8.0395305,-9.2494263,-10.0065589,-9.002358,-8.7048447,-9.1841099,-8.692684,-9.5357882,-8.9000573,-8.902724,-9.8964955,-8.8702906,-9.221747,-8.9075326,-9.4933984,-10.412597,-8.7986475,-9.6971861,-8.8748004,-9.9543044,-8.6237097,-9.4894214,-9.7137328,-9.0189301,-8.8089729,-9.4667032,-8.4004757,,-15.04943,-14.772569999999998,-14.83142,-14.86285,-14.75748,-14.781179999999999,-14.77337,-14.85272,-14.743829999999999,-14.85434,-14.80011,-14.78666,-14.84841,-14.711659999999998,-14.7864,-14.81022
TX5_4G_FDD_Band01_CCA_TX0_MB2_G13b_ACLR,channelPower_E_UTRA_LOW,3,9,0.5,10875,5.89849,5.46281,5.68404,5.60553,5.68226,5.49189,5.83618,5.69853,5.65301,5.7065,5.91813,5.66329,5.6002,5.51881,5.64729,5.5565,-55.4289,-55.612794,-56.585748,-56.629605,-55.59243,-55.058343,-55.70281,-55.778925,-55.784038,-56.664515,-56.086521,-56.970091,-55.856438,-55.274764,-54.867757,-56.254603,-55.90966,-56.092631,-56.218468,-55.831544,-56.140895,-53.14707,-55.3568,-55.582731,-54.819345,-55.666206,-55.431154,-56.553311,-55.573278,-55.206018,-56.957701,-56.251964,-56.025271,-54.199263,-55.704214,-55.806601,-55.647171,-54.161673,-53.776223,-56.241822,-57.009672,-54.619694,-56.693611,-54.637979,-56.781206,-56.907708,-56.85759,-56.564044,-54.958892,-57.049677,-56.959857,-56.174737,-56.828717,-55.845821,-56.209229,-56.331235,-54.219716,-56.071834,-55.890664,-57.363235,-54.521289,-56.460889,-55.986917,-54.904487,-56.676291,-56.26065,-56.680919,-56.027735,,-61.32739,-60.891709999999996,-61.11294,-61.03443,-61.11116,-60.92079,-61.26508,-61.12743,-61.08191,-61.1354,-61.34703,-61.09219,-61.0291,-60.94771,-61.07619,-60.9854
